,KitchenSinkWater,timestamp
5,NOT_PRESENT,2022-03-12 09:42:41.923000+01:00
6,PRESENT,2022-03-12 09:42:53.444000+01:00
7,NOT_PRESENT,2022-03-12 09:42:57.884000+01:00
8,PRESENT,2022-03-12 09:48:56.045000+01:00
9,NOT_PRESENT,2022-03-12 09:48:57.961000+01:00
0,NOT_PRESENT,2022-03-13 16:13:57.419000+01:00
1,PRESENT,2022-03-13 17:08:58.802000+01:00
2,NOT_PRESENT,2022-03-13 17:09:06.396000+01:00
3,PRESENT,2022-03-13 17:26:36.377000+01:00
4,NOT_PRESENT,2022-03-13 17:43:08.967000+01:00
5,PRESENT,2022-03-13 18:06:15.989000+01:00
6,NOT_PRESENT,2022-03-13 18:07:08.093000+01:00
7,PRESENT,2022-03-13 18:17:42.074000+01:00
8,NOT_PRESENT,2022-03-13 18:18:02.384000+01:00
9,PRESENT,2022-03-13 18:19:03.639000+01:00
10,NOT_PRESENT,2022-03-13 18:20:27.295000+01:00
11,PRESENT,2022-03-13 18:20:35.342000+01:00
12,NOT_PRESENT,2022-03-13 19:13:51.356000+01:00
0,PRESENT,2022-03-14 07:35:00.989000+01:00
1,NOT_PRESENT,2022-03-14 07:35:04.919000+01:00
2,PRESENT,2022-03-14 07:36:39.359000+01:00
3,NOT_PRESENT,2022-03-14 07:51:07.570000+01:00
4,PRESENT,2022-03-14 13:37:53.115000+01:00
5,NOT_PRESENT,2022-03-14 13:40:05.796000+01:00
6,PRESENT,2022-03-14 13:41:54.824000+01:00
7,NOT_PRESENT,2022-03-14 13:41:56.128000+01:00
8,PRESENT,2022-03-14 13:42:19.942000+01:00
9,NOT_PRESENT,2022-03-14 13:42:21.254000+01:00
10,PRESENT,2022-03-14 14:05:55.521000+01:00
11,NOT_PRESENT,2022-03-14 14:11:18.516000+01:00
12,PRESENT,2022-03-14 14:12:06.521000+01:00
13,NOT_PRESENT,2022-03-14 14:42:23.525000+01:00
14,PRESENT,2022-03-14 15:58:45.301000+01:00
15,NOT_PRESENT,2022-03-14 15:58:49.009000+01:00
16,PRESENT,2022-03-14 16:02:34.136000+01:00
17,NOT_PRESENT,2022-03-14 16:02:38.180000+01:00
18,PRESENT,2022-03-14 16:37:55.372000+01:00
19,NOT_PRESENT,2022-03-14 16:38:02.214000+01:00
20,PRESENT,2022-03-14 16:38:39.653000+01:00
21,NOT_PRESENT,2022-03-14 16:38:44.420000+01:00
22,PRESENT,2022-03-14 16:46:15.826000+01:00
23,NOT_PRESENT,2022-03-14 16:46:19.995000+01:00
24,PRESENT,2022-03-14 16:48:41.630000+01:00
25,NOT_PRESENT,2022-03-14 16:48:45.584000+01:00
26,PRESENT,2022-03-14 16:49:31.365000+01:00
27,NOT_PRESENT,2022-03-14 16:54:28.369000+01:00
28,PRESENT,2022-03-14 17:14:56.629000+01:00
29,NOT_PRESENT,2022-03-14 17:15:04.463000+01:00
30,PRESENT,2022-03-14 17:23:49.171000+01:00
31,NOT_PRESENT,2022-03-14 17:42:16.610000+01:00
0,NOT_PRESENT,2022-03-16 08:40:30.167000+01:00
1,NOT_PRESENT,2022-03-16 15:56:25.071000+01:00
2,PRESENT,2022-03-16 15:57:46.363000+01:00
3,NOT_PRESENT,2022-03-16 16:08:05.239000+01:00
0,NOT_PRESENT,2022-03-19 10:03:43.221000+01:00
0,PRESENT,2022-03-20 08:27:43.295000+01:00
0,NOT_PRESENT,2022-03-21 16:45:48.768000+01:00
1,PRESENT,2022-03-21 18:22:41.164000+01:00
2,NOT_PRESENT,2022-03-21 18:23:33.347000+01:00
0,NOT_PRESENT,2022-03-22 17:34:42.267000+01:00
0,PRESENT,2022-03-23 08:52:59.674000+01:00
1,NOT_PRESENT,2022-03-23 08:53:06.529000+01:00
2,NOT_PRESENT,2022-03-23 14:36:48.350000+01:00
0,NOT_PRESENT,2022-03-24 14:18:22.345000+01:00
0,NOT_PRESENT,2022-03-25 12:35:07.366000+01:00
1,NOT_PRESENT,2022-03-25 18:18:21.590000+01:00
2,PRESENT,2022-03-25 18:18:46.226000+01:00
3,NOT_PRESENT,2022-03-25 18:18:57.128000+01:00
0,NOT_PRESENT,2022-03-26 09:03:04.014000+01:00
0,NOT_PRESENT,2022-03-27 12:51:48.025000+02:00
1,PRESENT,2022-03-27 14:00:45.404000+02:00
2,NOT_PRESENT,2022-03-27 14:03:21.244000+02:00
3,PRESENT,2022-03-27 15:40:29.258000+02:00
4,NOT_PRESENT,2022-03-27 15:40:42.416000+02:00
5,PRESENT,2022-03-27 15:42:06.052000+02:00
6,NOT_PRESENT,2022-03-27 15:54:33.150000+02:00
7,PRESENT,2022-03-27 15:54:46.973000+02:00
