,0BRoom,timestamp
415,20.6,2022-01-12 09:29:27.117000+01:00
416,20.65,2022-01-12 09:44:51.574000+01:00
417,20.7,2022-01-12 10:00:16.072000+01:00
418,20.8,2022-01-12 10:15:40.294000+01:00
419,20.85,2022-01-12 10:31:04.234000+01:00
420,21.15,2022-01-12 10:46:27.899000+01:00
421,20.8,2022-01-12 11:01:51.316000+01:00
422,20.95,2022-01-12 11:17:14.392000+01:00
423,21.05,2022-01-12 11:32:37.193000+01:00
424,21.05,2022-01-12 11:48:00.169000+01:00
425,21.1,2022-01-12 12:03:22.973000+01:00
426,21.05,2022-01-12 12:18:45.764000+01:00
427,21.15,2022-01-12 12:34:08.352000+01:00
428,21.1,2022-01-12 12:49:30.513000+01:00
429,21.2,2022-01-12 13:04:52.674000+01:00
430,21.25,2022-01-12 13:20:14.729000+01:00
431,21.4,2022-01-12 13:35:36.855000+01:00
432,21.35,2022-01-12 13:50:59.065000+01:00
433,21.3,2022-01-12 14:06:21.067000+01:00
434,21.4,2022-01-12 14:21:43.017000+01:00
435,21.65,2022-01-12 14:37:04.742000+01:00
436,21.5,2022-01-12 14:52:26.306000+01:00
437,21.5,2022-01-12 15:07:47.564000+01:00
438,21.65,2022-01-12 15:23:08.714000+01:00
439,21.65,2022-01-12 15:38:29.925000+01:00
440,21.6,2022-01-12 15:53:50.831000+01:00
441,21.6,2022-01-12 16:09:11.836000+01:00
442,21.65,2022-01-12 16:24:32.776000+01:00
443,21.7,2022-01-12 16:39:53.468000+01:00
444,21.7,2022-01-12 16:55:14.233000+01:00
445,21.8,2022-01-12 17:10:34.813000+01:00
446,21.85,2022-01-12 17:25:55.298000+01:00
447,21.8,2022-01-12 17:41:15.563000+01:00
448,21.85,2022-01-12 17:56:35.693000+01:00
449,21.9,2022-01-12 18:11:55.974000+01:00
450,21.95,2022-01-12 18:27:16.219000+01:00
451,21.95,2022-01-12 18:42:36.165000+01:00
452,21.95,2022-01-12 18:57:55.999000+01:00
453,22.15,2022-01-12 19:13:15.764000+01:00
454,22.05,2022-01-12 19:28:35.684000+01:00
455,22.0,2022-01-12 19:43:55.573000+01:00
456,22.05,2022-01-12 19:59:15.303000+01:00
457,22.05,2022-01-12 20:14:34.968000+01:00
458,22.05,2022-01-12 20:29:54.596000+01:00
459,22.2,2022-01-12 20:45:14.146000+01:00
460,22.25,2022-01-12 21:00:33.933000+01:00
461,22.1,2022-01-12 21:15:53.741000+01:00
462,22.1,2022-01-12 21:31:13.522000+01:00
463,22.3,2022-01-12 21:46:33.103000+01:00
464,22.1,2022-01-12 22:01:52.624000+01:00
465,22.2,2022-01-12 22:17:12.126000+01:00
466,22.2,2022-01-12 22:32:31.517000+01:00
467,22.2,2022-01-12 22:47:50.832000+01:00
468,22.15,2022-01-12 23:03:10.189000+01:00
469,22.2,2022-01-12 23:18:29.470000+01:00
470,22.25,2022-01-12 23:33:48.734000+01:00
471,22.25,2022-01-12 23:49:07.935000+01:00
472,22.25,2022-01-13 00:04:27.122000+01:00
473,22.3,2022-01-13 00:19:46.050000+01:00
474,22.3,2022-01-13 00:35:04.887000+01:00
475,22.35,2022-01-13 00:50:23.655000+01:00
476,22.35,2022-01-13 01:05:42.265000+01:00
477,22.35,2022-01-13 01:21:01.006000+01:00
478,22.35,2022-01-13 01:36:19.821000+01:00
479,22.3,2022-01-13 01:51:38.705000+01:00
480,22.35,2022-01-13 02:06:57.566000+01:00
481,22.3,2022-01-13 02:22:16.283000+01:00
482,22.4,2022-01-13 02:37:34.991000+01:00
483,22.35,2022-01-13 02:52:53.608000+01:00
484,22.35,2022-01-13 03:08:12.360000+01:00
485,22.4,2022-01-13 03:23:31.213000+01:00
486,22.6,2022-01-13 03:38:50.008000+01:00
487,22.45,2022-01-13 03:54:08.500000+01:00
488,22.4,2022-01-13 04:09:26.947000+01:00
489,22.45,2022-01-13 04:24:45.363000+01:00
490,22.4,2022-01-13 04:40:03.763000+01:00
491,22.55,2022-01-13 04:55:22.311000+01:00
492,22.45,2022-01-13 05:10:41.034000+01:00
493,22.4,2022-01-13 05:25:59.749000+01:00
494,22.4,2022-01-13 05:41:18.439000+01:00
495,22.4,2022-01-13 05:56:37.097000+01:00
496,22.5,2022-01-13 06:11:55.694000+01:00
497,22.55,2022-01-13 06:27:14.294000+01:00
498,22.5,2022-01-13 06:42:32.692000+01:00
499,22.5,2022-01-13 06:57:50.894000+01:00
500,22.5,2022-01-13 07:13:09.145000+01:00
501,22.45,2022-01-13 07:28:27.468000+01:00
502,22.55,2022-01-13 07:43:45.944000+01:00
503,22.6,2022-01-13 07:59:04.312000+01:00
504,22.7,2022-01-13 08:14:22.879000+01:00
505,22.55,2022-01-13 08:29:41.481000+01:00
506,22.55,2022-01-13 08:45:00+01:00
507,22.55,2022-01-13 09:00:18.588000+01:00
508,22.7,2022-01-13 09:15:36.956000+01:00
509,22.5,2022-01-13 09:30:55.213000+01:00
510,22.7,2022-01-13 09:46:13.670000+01:00
511,22.6,2022-01-13 10:01:32.037000+01:00
512,22.8,2022-01-13 10:16:50.495000+01:00
513,22.65,2022-01-13 10:32:09.057000+01:00
514,22.75,2022-01-13 10:47:27.720000+01:00
515,22.6,2022-01-13 11:02:46.273000+01:00
516,22.65,2022-01-13 11:18:04.613000+01:00
517,22.65,2022-01-13 11:33:22.751000+01:00
518,22.75,2022-01-13 11:48:40.910000+01:00
519,22.6,2022-01-13 12:03:58.870000+01:00
520,22.7,2022-01-13 12:19:17.010000+01:00
521,22.75,2022-01-13 12:34:35.324000+01:00
522,22.6,2022-01-13 12:49:53.612000+01:00
523,22.6,2022-01-13 13:05:11.902000+01:00
524,22.55,2022-01-13 13:20:30.406000+01:00
525,22.55,2022-01-13 13:35:49.149000+01:00
526,22.55,2022-01-13 13:51:07.988000+01:00
527,22.75,2022-01-13 14:06:27.083000+01:00
528,22.5,2022-01-13 14:21:46.216000+01:00
529,22.75,2022-01-13 14:37:05.232000+01:00
530,22.55,2022-01-13 14:52:23.834000+01:00
531,22.95,2022-01-13 15:07:41.722000+01:00
532,22.85,2022-01-13 15:22:58.974000+01:00
533,23.25,2022-01-13 15:38:16.129000+01:00
534,23.1,2022-01-13 15:53:33.241000+01:00
