,1GuestRoom,timestamp
514,19.3,2022-01-13 08:48:58.390000+01:00
515,19.25,2022-01-13 09:05:21.412000+01:00
516,19.2,2022-01-13 09:21:43.932000+01:00
517,19.15,2022-01-13 09:38:06.706000+01:00
518,19.15,2022-01-13 09:54:29.421000+01:00
519,19.15,2022-01-13 10:10:52.355000+01:00
520,19.15,2022-01-13 10:27:15.705000+01:00
521,19.05,2022-01-13 10:43:38.989000+01:00
522,19.05,2022-01-13 11:00:02.386000+01:00
523,19.0,2022-01-13 11:16:25.867000+01:00
524,19.0,2022-01-13 11:32:49.486000+01:00
525,19.0,2022-01-13 11:49:13.040000+01:00
526,19.0,2022-01-13 12:05:36.459000+01:00
527,18.95,2022-01-13 12:22:00.332000+01:00
528,18.95,2022-01-13 12:38:24.083000+01:00
529,18.9,2022-01-13 12:52:40.644000+01:00
530,18.9,2022-01-13 13:09:04.020000+01:00
531,18.9,2022-01-13 13:25:27.866000+01:00
532,18.9,2022-01-13 13:41:51.762000+01:00
533,18.85,2022-01-13 13:56:08.452000+01:00
534,18.85,2022-01-13 14:12:31.889000+01:00
