"Year";"IsDayBin";"Month";"WindSpeed";"IrrDirect";"IrrDiffuse";"Temperature";"Percipitation";"SnowFlow";"SnowMass";"AirDensity";"RadSurface";"RadTop";"CloudCover"
"R207";2016;Day;1;5.824;0;0;-11.079;0.092;0.092;18.845;1.302;0.549;5.359;0.779
"R208";2016;Night;1;5.753;0;0;-11.173;0.109;0.109;18.942;1.302;0;0;0.852
"R209";2016;Night;1;5.783;0;0;-11.173;0.156;0.156;19.076;1.302;0;0;0.87
"R210";2016;Night;1;5.747;0;0;-11.233;0.152;0.152;19.227;1.303;0;0;0.843
"R211";2016;Night;1;5.798;0;0;-11.191;0.164;0.164;19.381;1.303;0;0;0.846
"R212";2016;Night;1;5.997;0;0;-11.15;0.163;0.163;19.544;1.304;0;0;0.845
"R213";2016;Night;1;6.1;0;0;-11.207;0.143;0.143;19.689;1.304;0;0;0.827
"R214";2016;Night;1;6.214;0;0;-11.308;0.125;0.125;19.82;1.304;0;0;0.882
"R215";2016;Night;1;6.814;0;0;-11.287;0.114;0.114;19.933;1.303;0;0;0.917
"R216";2016;Night;1;7.038;0;0;-11.187;0.158;0.158;20.057;1.301;0;0;0.977
"R217";2016;Night;1;6.863;0;0;-10.966;0.4;0.4;20.327;1.299;0;0;0.99
"R218";2016;Night;1;6.522;0;0;-10.739;0.759;0.759;20.924;1.297;0;0;0.986
"R219";2016;Night;1;6.458;0;0;-10.493;1.024;1.024;21.823;1.294;0;0;0.986
"R220";2016;Night;1;6.49;0;0;-10.193;1.275;1.275;22.983;1.292;0;0;0.987
"R221";2016;Night;1;6.406;0;0;-9.888;1.282;1.282;24.273;1.289;0;0;0.996
"R222";2016;Night;1;6.389;0;0;-9.591;1.11;1.11;25.453;1.287;0;0;0.998
"R223";2016;Night;1;6.407;0;0;-9.307;0.94;0.94;26.445;1.285;0;0;0.997
"R224";2016;Night;1;6.222;0;0;-9.048;0.896;0.896;27.341;1.283;0;0;0.993
"R225";2016;Day;1;6.066;0.001;0.001;-8.836;0.857;0.857;28.211;1.282;2.333;32.075;0.991
"R226";2016;Day;1;5.937;0.002;0.008;-8.558;0.701;0.701;28.971;1.28;12.535;123.906;0.989
"R227";2016;Day;1;5.744;0.003;0.015;-8.194;0.613;0.613;29.599;1.278;23.398;180.206;0.99
"R228";2016;Day;1;5.561;0.003;0.018;-7.784;0.558;0.558;30.169;1.275;28.103;192.969;0.991
"R229";2016;Day;1;5.404;0.003;0.015;-7.41;0.479;0.479;30.671;1.273;23.364;161.417;0.99
"R230";2016;Day;1;5.507;0.002;0.007;-7.19;0.413;0.413;31.103;1.27;11.759;87.642;0.988
"R231";2016;Day;1;5.986;0;0;-6.96;0.396;0.396;31.496;1.268;0.608;6.362;0.984
"R232";2016;Night;1;6.712;0;0;-6.066;0.388;0.388;31.887;1.262;0;0;0.985
"R233";2016;Night;1;6.86;0;0;-5.318;0.382;0.382;32.274;1.257;0;0;0.99
"R234";2016;Night;1;6.438;0;0;-4.722;0.388;0.388;32.651;1.254;0;0;0.994
"R235";2016;Night;1;6.049;0;0;-4.469;0.44;0.44;33.055;1.253;0;0;0.996
"R236";2016;Night;1;5.841;0;0;-4.411;0.493;0.493;33.52;1.253;0;0;0.996
"R237";2016;Night;1;5.932;0;0;-4.413;0.537;0.537;34.029;1.253;0;0;0.996
"R238";2016;Night;1;5.901;0;0;-4.402;0.553;0.553;34.567;1.252;0;0;0.997
"R239";2016;Night;1;5.845;0;0;-4.346;0.584;0.584;35.125;1.252;0;0;0.998
"R240";2016;Night;1;5.727;0;0;-4.306;0.626;0.626;35.721;1.251;0;0;0.998
"R241";2016;Night;1;5.556;0;0;-4.307;0.646;0.646;36.353;1.251;0;0;0.997
"R242";2016;Night;1;5.443;0;0;-4.343;0.601;0.601;36.968;1.251;0;0;0.997
"R243";2016;Night;1;5.374;0;0;-4.395;0.549;0.549;37.53;1.251;0;0;0.997
"R244";2016;Night;1;5.527;0;0;-4.431;0.512;0.512;38.048;1.25;0;0;0.997
"R245";2016;Night;1;5.617;0;0;-4.431;0.467;0.467;38.527;1.25;0;0;0.997
"R246";2016;Night;1;5.611;0;0;-4.43;0.382;0.382;38.941;1.25;0;0;0.997
"R247";2016;Night;1;5.567;0;0;-4.445;0.285;0.285;39.258;1.25;0;0;0.997
"R248";2016;Night;1;5.54;0;0;-4.471;0.211;0.211;39.492;1.25;0;0;0.997
"R249";2016;Day;1;5.481;0.001;0.002;-4.488;0.156;0.156;39.663;1.25;3.025;34.657;0.998
"R250";2016;Day;1;5.348;0.004;0.011;-4.413;0.107;0.107;39.781;1.25;17.777;127.376;0.998
"R251";2016;Day;1;5.089;0.008;0.023;-4.267;0.075;0.075;39.854;1.25;36.295;183.706;0.997
"R252";2016;Day;1;5.026;0.012;0.029;-4.141;0.057;0.057;39.903;1.249;46.015;196.522;0.995
"R253";2016;Day;1;5.112;0.014;0.025;-4.113;0.043;0.043;39.939;1.249;40.634;164.926;0.993
